id,category,body
1,technology,The chip design improves battery life by 20 percent.
2,technology,The chip design cuts inference cost by a wide margin.
3,technology,The startup's app reduces latency by in benchmark tests.
4,technology,The new smartphone lowers memory usage by in benchmark tests.
5,technology,The open-source library improves battery life by compared to last year's model.
6,technology,The cloud platform improves battery life by 20 percent.
7,technology,The new smartphone reduces latency by a wide margin.
8,technology,The open-source library increases throughput by 20 percent.
9,technology,The open-source library reduces latency by in benchmark tests.
10,technology,The chip design lowers memory usage by compared to last year's model.
11,technology,The cloud platform reduces latency by after the latest update.
12,technology,The open-source library cuts inference cost by 20 percent.
13,technology,The startup's app lowers memory usage by after the latest update.
14,technology,The ai model cuts inference cost by a wide margin.
15,technology,The startup's app cuts inference cost by 20 percent.
16,technology,The new smartphone speeds up builds by 20 percent.
17,technology,The ai model cuts inference cost by compared to last year's model.
18,technology,The ai model improves battery life by in benchmark tests.
19,technology,The cloud platform increases throughput by 20 percent.
20,technology,The cloud platform improves battery life by compared to last year's model.
21,technology,The ai model lowers memory usage by compared to last year's model.
22,technology,The ai model increases throughput by a wide margin.
23,technology,The chip design reduces latency by using a new caching layer.
24,technology,The new smartphone reduces latency by 20 percent.
25,technology,The cloud platform cuts inference cost by after the latest update.
26,technology,The chip design cuts inference cost by in benchmark tests.
27,technology,The chip design lowers memory usage by 20 percent.
28,technology,The open-source library lowers memory usage by a wide margin.
29,technology,The startup's app speeds up builds by after the latest update.
30,technology,The ai model lowers memory usage by in benchmark tests.
31,technology,The ai model improves battery life by a wide margin.
32,technology,The new smartphone cuts inference cost by after the latest update.
33,technology,The open-source library lowers memory usage by using a new caching layer.
34,technology,The cloud platform lowers memory usage by after the latest update.
35,technology,The startup's app cuts inference cost by a wide margin.
36,technology,The startup's app lowers memory usage by compared to last year's model.
37,technology,The open-source library cuts inference cost by in benchmark tests.
38,technology,The open-source library speeds up builds by compared to last year's model.
39,technology,The cloud platform cuts inference cost by a wide margin.
40,technology,The startup's app increases throughput by after the latest update.
41,technology,The new smartphone improves battery life by 20 percent.
42,technology,The startup's app lowers memory usage by a wide margin.
43,technology,The chip design speeds up builds by compared to last year's model.
44,technology,The new smartphone speeds up builds by after the latest update.
45,technology,The ai model increases throughput by 20 percent.
46,technology,The chip design increases throughput by using a new caching layer.
47,technology,The chip design cuts inference cost by 20 percent.
48,technology,The ai model speeds up builds by a wide margin.
49,technology,The cloud platform improves battery life by in benchmark tests.
50,technology,The chip design cuts inference cost by compared to last year's model.
51,technology,The startup's app increases throughput by 20 percent.
52,technology,The open-source library increases throughput by a wide margin.
53,technology,The open-source library cuts inference cost by after the latest update.
54,technology,The new smartphone improves battery life by using a new caching layer.
55,technology,The ai model reduces latency by 20 percent.
56,technology,The new smartphone lowers memory usage by after the latest update.
57,technology,The new smartphone increases throughput by a wide margin.
58,technology,The open-source library reduces latency by using a new caching layer.
